docusign_ta,DocuSign Add-on (TA),https://splunkbase.splunk.com/app/5664/,1.0.2#8.0|8.1.2008|8.1|8.2|9.0|;1.0.0#|
TA-mvdiff,MVDiff Add-on For Splunk,https://splunkbase.splunk.com/app/4297/,1.1.0#7.0|7.1|7.2|7.3|8.0|8.1.2008|8.1|8.2|9.0|;1.0.0#7.0|7.1|7.2|;1.1.4#8.0|8.1.2008|8.1|8.2|;1.1.3#8.0|8.1.2008|8.1|8.2|
DA-ESS_AmazonWebServices_Content,Splunk Security Analytics for AWS Content,https://splunkbase.splunk.com/app/5504/,3.26.0#7.2|7.3|8.0|8.1|8.2|;3.19.0#7.2|7.3|8.0|8.1|8.2|;3.22.0#7.2|7.3|8.0|8.1|8.2|;3.20.0#7.2|7.3|8.0|8.1|8.2|
optiv_TA_decept,Optiv_TA_decept,https://splunkbase.splunk.com/app/3294/,1.32#6.4|6.5|6.6|;1.14#6.4|6.5|;1.30#6.4|6.5|6.6|;1.00#6.4|;1.10#6.3|6.5|
TimeRecorderWin,TimeRecorderforWindows,https://splunkbase.splunk.com/app/1560/,1.1.0#5.0|;1.2.0#5.0|6.0|6.1|;1.0.0#5.0|
TA_garmin,Garmin Add-On for Splunk,https://splunkbase.splunk.com/app/5035/,1.0.3#8.1|8.2|9.0|8.0|;1.0.2#8.0|8.1.2008|8.1|8.2|9.0|;1.0.1#8.0|8.1.2008|8.1|8.2|9.0|;1.0.0#8.0|8.1.2008|8.1|8.2|9.0|
TA-Nutanix-Beam,Nutanix Flow Security Central Integration,https://splunkbase.splunk.com/app/4744/,0.1.0#7.2|7.3|8.0|8.1.2008|8.1|8.2|9.0|
TA-inky_hec,Inky HEC Add-on for Splunk,https://splunkbase.splunk.com/app/5046/,1.0.0#6.0|6.1|6.2|6.3|6.4|6.5|6.6|7.0|7.1|7.2|7.3|8.0|8.1.2008|8.1|8.2|9.0|
monitoringopenshift,Monitoring OpenShift - Metrics and Log Forwarding,https://splunkbase.splunk.com/app/3836/,5.5.202#6.3|6.4|6.5|6.6|7.0|7.1|7.2|;5.7.220#6.3|6.4|6.5|6.6|7.0|7.1|7.2|;5.1.175#6.5|6.6|7.0|7.1|7.2|;5.4.200#6.5|6.6|7.0|7.1|7.2|;5.4.201#6.5|6.6|7.0|7.1|7.2|;4.0.24#6.5|6.6|7.0|7.1|7.2|;5.3.190#6.5|6.6|7.0|7.1|7.2|;5.14.280#6.3|6.4|6.5|6.6|7.0|7.1|7.2|7.3|8.0|8.1.2008|8.1|8.2|9.0|;5.2.179#6.5|6.6|7.0|7.1|7.2|;3.0.23#6.5|6.6|7.0|7.1|;3.0.22#6.5|6.6|7.0|;5.0.174#6.5|6.6|7.0|7.1|7.2|;5.15.300#6.3|6.4|6.5|6.6|7.0|7.1|7.2|7.3|8.0|8.1.2008|8.1|8.2|9.0|;5.10.250#6.3|6.4|6.5|6.6|7.0|7.1|7.2|7.3|;5.2.177#6.5|6.6|7.0|7.1|7.2|;5.11.260#6.4|6.5|6.6|7.0|7.1|7.2|7.3|;5.6.212#6.3|6.4|6.5|6.6|7.0|7.1|7.2|;5.2.180#6.5|6.6|7.0|7.1|7.2|;2.1.18#6.5|6.6|7.0|;5.16.350#7.1|7.2|7.3|8.0|8.1.2008|8.1|8.2|9.0|;5.12.272#6.3|6.4|6.5|6.6|7.0|7.1|7.2|7.3|8.0|8.1.2008|8.1|8.2|9.0|;5.12.271#6.3|6.4|6.5|6.6|7.0|7.1|7.2|7.3|8.0|8.1.2008|8.1|8.2|9.0|;5.12.270#6.3|6.4|6.5|6.6|7.0|7.1|7.2|7.3|8.0|8.1.2008|8.1|8.2|9.0|;5.16.361#7.2|7.3|8.0|8.1|8.2|9.0|;5.16.360#7.2|7.3|8.0|8.1.2008|8.1|8.2|9.0|;5.8.231#6.3|6.4|6.5|6.6|7.0|7.1|7.2|;5.8.230#6.3|6.4|6.5|6.6|7.0|7.1|7.2|;5.9.240#6.3|6.4|6.5|6.6|7.0|7.1|7.2|7.3|;5.16.363#7.2|7.3|8.0|8.1.2008|8.1|8.2|9.0|;2.1.21#6.5|6.6|7.0|;5.17.371#7.2|7.3|8.0|8.1.2008|8.1|8.2|9.0|;5.17.370#7.2|7.3|8.0|8.1|8.2|9.0|;5.17.372#8.1|8.2|9.0|;5.18.380#8.1|8.2|9.0|;5.6.211#6.3|6.4|6.5|6.6|7.0|7.1|7.2|;5.6.210#6.3|6.4|6.5|6.6|7.0|7.1|7.2|;5.2.178#6.5|6.6|7.0|7.1|7.2|;5.2.176#6.5|6.6|7.0|7.1|7.2|;2.1.19#6.5|6.6|7.0|
tado,tado Heating App for Splunk,https://splunkbase.splunk.com/app/3479/,1.4#6.2|6.3|6.4|6.5|6.6|;1.2#6.3|6.4|6.5|;1.3#6.3|6.4|6.5|;1.1#6.3|6.4|6.5|;1.0#6.3|6.4|6.5|
metrics_explorer,(DEPRECATED) Metrics Explorer for Splunk,https://splunkbase.splunk.com/app/3726/,0.1.2#7.0|7.1|7.2|
Splunk_SAINT_Security_Suite,SAINT for Splunk,https://splunkbase.splunk.com/app/4806/,0.2#7.2|7.3|8.0|8.1.2008|8.1|8.2|9.0|
twitter_alerts,Twitter Alert Action,https://splunkbase.splunk.com/app/2862/,1.02#6.3|;1.01#6.3|;1.0#6.3|
Smart_Monitor_for_Splunk,Smart Monitor,https://splunkbase.splunk.com/app/3297/,0.1.0#6.4|6.3|;0.1.1#8.2|8.1.2008|8.1|8.0|;null#|
TA-Code42ForSplunk,TA for Code42 App For Splunk,https://splunkbase.splunk.com/app/3746/,3.0.7#7.1|7.2|;3.0.8#7.1|7.2|;3.0.9#7.0|7.1|7.2|;3.0.12#7.0|7.1|7.2|7.3|8.0|8.1.2008|8.1|8.2|9.0|;3.0.10#7.2|7.3|;3.0.11#7.2|7.3|8.0|8.1.2008|8.1|8.2|9.0|;3.0.6#7.0|7.1|7.2|;3.0.5#7.0|;3.0.4#6.6|7.0|;3.0.3#6.6|7.0|;3.0.2#6.6|7.0|;3.0.1#6.6|7.0|
